content_id,nudity_level,violence_level,profanity_level,alcohol_level,frightening_level
1442,None,None,None,Moderate,None
1443,Mild,Moderate,Moderate,Mild,Moderate
1444,Mild,Mild,Mild,Mild,Mild
1445,Moderate,Severe,Mild,Mild,Severe
1446,None,Mild,None,Mild,Mild
1447,Mild,Moderate,Mild,Mild,Mild
1448,No Rate,No Rate,No Rate,No Rate,No Rate
1449,No Rate,No Rate,No Rate,No Rate,No Rate
1450,Mild,Moderate,Mild,None,Moderate
1451,Moderate,Moderate,Severe,Mild,Mild
1452,Mild,None,Mild,Mild,None
1453,Severe,None,Moderate,Moderate,Mild
1454,Severe,Moderate,Mild,Mild,Severe
1455,No Rate,No Rate,No Rate,No Rate,No Rate
1456,None,None,None,None,Mild
1457,No Rate,No Rate,No Rate,No Rate,No Rate
1458,No Rate,No Rate,No Rate,No Rate,No Rate
1459,Mild,None,Mild,Mild,None
1460,Mild,Severe,Moderate,Mild,Severe
1461,Mild,Mild,Moderate,Mild,None
1462,Mild,Moderate,None,Mild,Mild
1463,Mild,Mild,Severe,Mild,Mild
1464,Moderate,Mild,Moderate,Moderate,None
1465,Mild,Moderate,Severe,Mild,Moderate
1466,Mild,Mild,Mild,Mild,Mild
1467,None,Severe,Moderate,Mild,Moderate
1468,None,Mild,Mild,Moderate,Mild
1469,None,Mild,None,None,Mild
1470,None,None,None,None,Mild
1471,None,Moderate,Moderate,Mild,Moderate
1472,None,Mild,None,None,Mild
1473,Mild,Severe,Severe,Moderate,Moderate
1474,Mild,Moderate,Moderate,Mild,Mild
1475,Mild,Mild,Mild,Mild,None
1476,None,Mild,Mild,Mild,Severe
1477,Mild,None,None,Mild,Mild
1478,Moderate,Severe,Severe,Mild,Severe
1479,Mild,Mild,Moderate,Mild,Moderate
1480,None,Mild,Mild,Mild,Moderate
1481,Mild,Severe,Moderate,Mild,Severe
1482,No Rate,No Rate,No Rate,No Rate,No Rate
1483,No Rate,No Rate,No Rate,No Rate,No Rate
1484,Mild,Mild,Moderate,Mild,Mild
1485,No Rate,No Rate,No Rate,No Rate,No Rate
1486,Mild,Moderate,Severe,Moderate,Moderate
1487,Mild,Severe,Severe,Mild,Severe
1488,None,Mild,None,Mild,Mild
1489,Moderate,Severe,Mild,Mild,Moderate
1490,None,Moderate,Mild,None,Moderate
1491,None,Mild,None,Mild,Moderate
1492,Mild,Severe,Moderate,Mild,Severe
1493,None,Mild,None,Mild,Mild
1494,None,Mild,None,None,Mild
1495,Moderate,Moderate,Severe,Mild,Mild
1496,No Rate,No Rate,No Rate,No Rate,No Rate
1497,None,Mild,Mild,Mild,Mild
1498,Severe,Severe,Severe,Mild,Moderate
1499,Severe,Mild,Moderate,Moderate,None
1500,No Rate,No Rate,Severe,No Rate,Severe
1501,None,Mild,Mild,Mild,Mild
1502,Mild,Severe,Moderate,Mild,Moderate
1503,Mild,Severe,Severe,Mild,Severe
1504,None,Mild,None,None,Mild
1505,Mild,Mild,Moderate,Moderate,Moderate
1506,Mild,Moderate,Mild,Mild,Mild
1507,Mild,Mild,Moderate,Mild,Moderate
1508,Mild,Severe,Severe,Mild,Severe
1509,Mild,Moderate,Mild,Moderate,Moderate
1510,Mild,Moderate,Mild,Mild,Mild
1511,Mild,Severe,Mild,Mild,Moderate
1512,Mild,Moderate,Moderate,Mild,Moderate
1513,None,Moderate,Mild,Mild,Mild
1514,Moderate,Severe,Moderate,Mild,Severe
1515,Moderate,Severe,Severe,Mild,Severe
1516,Moderate,Severe,Moderate,Mild,Severe
1517,Mild,Mild,Severe,Mild,Mild
1518,Severe,Moderate,Moderate,Mild,None
1519,None,Severe,Moderate,None,Moderate
1520,None,Moderate,Mild,Mild,Mild
1521,Moderate,Severe,Moderate,Moderate,Severe
1522,Mild,Mild,Mild,Mild,Mild
1523,Moderate,Mild,Severe,Severe,None
1524,None,Mild,None,None,Moderate
1525,Moderate,Moderate,Severe,Moderate,Mild
1526,Mild,Moderate,Severe,Severe,Mild
1527,Moderate,None,Severe,Moderate,None
1528,Mild,Moderate,Severe,Mild,Moderate
1529,No Rate,No Rate,No Rate,No Rate,No Rate
1530,Mild,Severe,Severe,Mild,Severe
1531,No Rate,No Rate,No Rate,No Rate,No Rate
1532,None,Mild,None,None,Mild
1533,Moderate,Severe,Severe,Severe,Severe
1534,Severe,Severe,Severe,Severe,Severe
1535,Mild,None,None,Mild,None
1536,Severe,Moderate,Severe,None,Severe
1537,Severe,Severe,Severe,Mild,Severe
1538,None,Mild,Mild,Mild,Moderate
1539,Moderate,Mild,Severe,Moderate,Severe
1540,Mild,Moderate,Moderate,No Rate,No Rate
1541,None,None,None,None,Mild
1542,None,None,Severe,Mild,Mild
1543,None,Moderate,Mild,Mild,Moderate
1544,None,Moderate,Mild,Mild,Moderate
1545,Mild,Moderate,Mild,Mild,Moderate
1546,Mild,None,Mild,Mild,None
1547,Mild,Severe,Severe,Mild,Moderate
1548,Mild,Mild,None,None,None
1549,Moderate,Severe,Moderate,Mild,Mild
1550,Severe,Moderate,Moderate,Mild,Mild
1551,None,Mild,None,None,Mild
1552,None,Moderate,Moderate,Mild,Moderate
1553,No Rate,No Rate,No Rate,No Rate,No Rate
1554,None,Moderate,None,None,Mild
1555,No Rate,No Rate,No Rate,No Rate,No Rate
1556,Mild,None,Mild,Mild,None
1557,None,Moderate,None,None,Moderate
1558,Mild,Moderate,Moderate,None,Moderate
1559,Mild,Moderate,Mild,Mild,Moderate
1560,Moderate,Mild,Mild,Mild,Mild
1561,None,Severe,Mild,Severe,Severe
1562,None,Mild,None,Mild,Mild
1563,Severe,Severe,Severe,Mild,Moderate
1564,None,Severe,Severe,Mild,Severe
1565,None,Mild,Mild,None,Mild
1566,None,Mild,None,Mild,Mild
1567,Moderate,Severe,Moderate,Mild,Severe
1568,Moderate,Moderate,Severe,Moderate,Mild
1569,Moderate,Severe,Severe,Severe,Severe
1570,Mild,Moderate,Severe,Mild,Moderate
1571,None,Moderate,Mild,None,Moderate
1572,Mild,Severe,Severe,Moderate,Mild
1573,None,Moderate,None,None,Moderate
1574,None,Mild,None,Mild,None
1575,Mild,Moderate,Mild,Mild,Moderate
1576,Mild,Moderate,Mild,Mild,Moderate
1577,Mild,Mild,Moderate,Mild,Mild
1578,Mild,Moderate,Mild,Mild,Moderate
1579,None,Mild,Mild,Mild,Moderate
1580,None,Mild,Mild,Mild,None
1581,Mild,Severe,Severe,Moderate,Moderate
1582,Moderate,Severe,Mild,None,Severe
1583,Mild,Moderate,Moderate,Mild,Moderate
1584,None,Severe,Moderate,Mild,Moderate
1585,Mild,Moderate,Moderate,Moderate,Moderate
1586,None,Moderate,Mild,Mild,Moderate
1587,None,Mild,Mild,Mild,Mild
1588,Mild,Mild,Mild,Mild,Moderate
1589,Mild,Moderate,Mild,Mild,Moderate
1590,Mild,Mild,Mild,Mild,Mild
1591,No Rate,No Rate,No Rate,No Rate,Mild
1592,No Rate,No Rate,No Rate,No Rate,No Rate
1593,None,Mild,None,None,Moderate
1594,Mild,Moderate,Moderate,Severe,Moderate
1595,Moderate,Moderate,Moderate,Mild,Moderate
1596,Mild,Severe,Moderate,Mild,Severe
1597,Mild,Moderate,Moderate,Mild,Severe
1598,Severe,Severe,Moderate,Mild,Moderate
1599,None,Mild,Mild,Mild,Mild
1600,Moderate,Severe,Moderate,Mild,Severe
1601,None,Severe,Moderate,Mild,Severe
1602,Moderate,Mild,Severe,Severe,No Rate
1603,None,Mild,None,None,Moderate
1604,Severe,Mild,Severe,Moderate,None
1605,Mild,Severe,Mild,Mild,Moderate
1606,Mild,Moderate,Severe,Moderate,Mild
1607,Mild,Moderate,Mild,Mild,Moderate
1608,Moderate,Mild,Mild,Mild,Moderate
1609,Moderate,Moderate,Mild,Moderate,Moderate
1610,Mild,Moderate,Severe,Mild,Moderate
1611,Mild,Moderate,Moderate,Moderate,Moderate
1612,Mild,Moderate,Moderate,Mild,Severe
1613,Mild,Mild,Moderate,Mild,Moderate
1614,Mild,Moderate,Mild,Mild,Mild
1615,Moderate,Severe,Severe,Mild,Severe
1616,Severe,Moderate,Severe,Severe,Moderate
1617,None,Mild,None,None,Mild
1618,None,Mild,None,None,Mild
1619,Mild,Mild,Moderate,Moderate,None
1620,None,Mild,None,Mild,Moderate
1621,Mild,Mild,Mild,Mild,Mild
1622,Mild,Severe,Moderate,Mild,Severe
1623,Mild,Mild,Mild,Mild,Mild
1624,None,Mild,Mild,Mild,Mild
1625,None,Severe,Moderate,Mild,Severe
1626,None,Mild,None,Mild,None
1627,None,Mild,None,Mild,Mild
1628,Moderate,Mild,None,Mild,None
1629,Moderate,Mild,Moderate,Moderate,Mild
1630,Mild,Moderate,Mild,Mild,Moderate
1631,None,Moderate,None,Mild,Moderate
1632,Mild,Severe,Moderate,Mild,Moderate
1633,Moderate,None,Mild,Mild,None
1634,Severe,Severe,Severe,Moderate,Severe
1635,Mild,Mild,Moderate,Mild,Mild
1636,None,Moderate,None,Mild,Severe
1637,None,Mild,Mild,Mild,Mild
1638,None,Moderate,Moderate,None,Moderate
1639,Moderate,Mild,Moderate,Moderate,Mild
1640,Mild,Moderate,Mild,Mild,Moderate
1641,No Rate,No Rate,No Rate,No Rate,No Rate
1642,Mild,Mild,None,Mild,Mild
1643,Mild,Mild,Mild,Mild,Mild
1644,Mild,Moderate,Severe,Mild,Moderate
1645,Mild,Moderate,Moderate,Mild,Mild
1646,Mild,Mild,Moderate,Mild,Mild
1647,None,Mild,Mild,None,Moderate
1648,Severe,Moderate,Severe,Severe,Severe
1649,Moderate,Severe,Severe,Mild,Moderate
1650,Mild,Severe,Severe,Mild,Severe
1651,Mild,None,Mild,Mild,None
1652,Moderate,Mild,Mild,Mild,Mild
1653,Moderate,Severe,Moderate,Moderate,Severe
1654,None,Mild,Mild,Mild,Moderate
1655,Moderate,Severe,Severe,Moderate,Moderate
1656,Moderate,Moderate,Severe,Severe,Moderate
1657,None,Severe,Mild,Mild,Severe
1658,None,Moderate,Mild,None,Moderate
1659,Mild,Moderate,Mild,Mild,Mild
1660,Mild,Moderate,Moderate,Moderate,Severe
1661,Severe,Moderate,Severe,Severe,Moderate
1662,Mild,Mild,Mild,Mild,None
1663,Severe,Moderate,Severe,Moderate,Moderate
1664,Mild,Severe,Moderate,Mild,Severe
1665,Severe,Severe,Mild,Moderate,Severe
1666,Mild,Severe,Moderate,Mild,Severe
1667,Mild,Moderate,Mild,Mild,Moderate
1668,No Rate,No Rate,No Rate,No Rate,No Rate
1669,Moderate,None,Mild,Mild,None
1670,Moderate,None,None,Mild,None
1671,Moderate,Mild,Mild,Mild,None
1672,Mild,Moderate,Mild,Mild,Severe
1673,Mild,Severe,Severe,Mild,Severe
1674,Moderate,Moderate,Mild,Mild,Severe
1675,None,Moderate,Moderate,Moderate,Mild
1676,None,None,Mild,Mild,None
1677,Moderate,Severe,Moderate,Mild,Moderate
1678,Mild,Moderate,Moderate,None,Moderate
1679,Moderate,Mild,Mild,Mild,None
1680,None,Mild,Mild,Mild,Mild
1681,Mild,Mild,Moderate,Severe,Moderate
1682,Mild,Severe,Moderate,Mild,Moderate
1683,Moderate,Mild,Moderate,Mild,Mild
1684,Mild,Severe,Severe,Mild,Severe
1685,Mild,None,None,Mild,Mild
1686,Moderate,Severe,Severe,Severe,Severe
1687,Mild,Moderate,Mild,None,Mild
1688,None,Severe,Mild,None,Severe
1689,Mild,Mild,Mild,Mild,Mild
1690,None,Mild,Moderate,None,Moderate
1691,Moderate,Mild,Moderate,Mild,Mild
1692,Moderate,Moderate,Severe,Severe,Mild
1693,Mild,Moderate,Moderate,Mild,Moderate
1694,Mild,None,Mild,Mild,None
1695,Mild,Severe,Mild,Mild,Severe
1696,None,Mild,None,Mild,Mild
1697,Mild,Severe,Severe,Mild,Mild
1698,Severe,Severe,Moderate,Moderate,Moderate
1699,Mild,Moderate,Severe,Mild,No Rate
1700,Mild,Mild,None,Mild,Mild
1701,Mild,Moderate,None,Mild,Moderate
1702,None,Mild,Mild,Mild,Mild
1703,Severe,Moderate,Severe,Moderate,Mild
1704,Mild,Severe,Moderate,None,Moderate
1705,Mild,Mild,Moderate,Mild,Mild
1706,None,Moderate,None,Mild,Moderate
1707,Moderate,Moderate,Mild,Mild,Mild
1708,None,Severe,Mild,Mild,Moderate
1709,Mild,Moderate,Mild,None,Moderate
1710,None,Moderate,Mild,Mild,Moderate
1711,Mild,Severe,Moderate,Moderate,Moderate
1712,Moderate,Severe,Severe,Moderate,Severe
1713,Mild,Mild,Severe,Severe,Mild
1714,None,Moderate,Mild,Moderate,Mild
1715,Mild,Mild,Mild,Mild,Mild
1716,Moderate,Mild,Moderate,Mild,Mild
1717,Mild,Severe,Severe,Mild,Moderate
1718,No Rate,No Rate,No Rate,No Rate,No Rate
1719,Moderate,None,Moderate,Mild,None
1720,Moderate,Severe,Moderate,Mild,Severe
1721,Mild,Severe,Severe,Moderate,Severe
1722,Severe,Severe,Severe,Severe,Moderate
1723,Mild,Moderate,Moderate,Mild,Moderate
1724,Severe,Moderate,Moderate,None,Moderate
1725,Mild,Moderate,Mild,Mild,Moderate
1726,None,Moderate,Moderate,Mild,Severe
1727,Mild,None,Mild,Mild,No Rate
1728,Mild,Moderate,Moderate,Mild,Severe
1729,None,Severe,Moderate,Moderate,Severe
1730,Severe,Mild,Severe,Severe,Moderate
1731,None,Severe,Severe,Moderate,Moderate
1732,Mild,Mild,Mild,Mild,Moderate
1733,Severe,Severe,Severe,Mild,Severe
1734,Mild,Moderate,Mild,Mild,Moderate
1735,Moderate,Severe,Severe,Moderate,Severe
1736,Severe,Severe,Severe,Severe,Severe
1737,Mild,None,Mild,Mild,None
1738,Mild,Severe,Moderate,Mild,Moderate
1739,None,Moderate,Mild,None,Mild
1740,Moderate,Mild,Moderate,Severe,Mild
1741,Mild,Mild,Moderate,Mild,None
1742,Mild,Moderate,Severe,Severe,Mild
1743,Moderate,Moderate,Severe,Mild,Moderate
1744,None,No Rate,No Rate,No Rate,No Rate
1745,No Rate,No Rate,No Rate,No Rate,No Rate
1746,No Rate,No Rate,No Rate,No Rate,No Rate
1747,Mild,Mild,None,Mild,Mild
1748,None,None,None,Mild,Mild
1749,Mild,Mild,Mild,Mild,No Rate
1750,No Rate,No Rate,No Rate,No Rate,No Rate
1751,No Rate,No Rate,No Rate,No Rate,No Rate
1752,None,Severe,Mild,Mild,Severe
1753,None,Mild,None,Mild,Mild
1754,Severe,Mild,Moderate,Mild,None
1755,None,None,None,None,None
1756,Mild,Severe,Mild,None,Severe
1757,Severe,Mild,Moderate,Mild,Mild
1758,Mild,Mild,Mild,None,Mild
1759,Moderate,Mild,Moderate,Moderate,Mild
1760,Mild,Mild,Mild,Moderate,Mild
1761,None,None,None,Mild,None
1762,Mild,Mild,Mild,Moderate,None
1763,Moderate,Severe,Severe,Moderate,Moderate
1764,None,Mild,Mild,Mild,Mild
1765,None,Moderate,Mild,None,No Rate
1766,Mild,Severe,Severe,Mild,Severe
1767,No Rate,No Rate,No Rate,No Rate,No Rate
1768,None,Mild,None,None,Mild
1769,None,Moderate,None,None,Mild
1770,Moderate,Mild,Severe,Severe,Mild
1771,Mild,None,Mild,Mild,None
1772,Moderate,Severe,Severe,Moderate,Moderate
1773,Severe,Moderate,Severe,Moderate,Moderate
1774,Mild,Mild,Mild,No Rate,No Rate
1775,Mild,None,Severe,Mild,None
1776,Moderate,Severe,Severe,Mild,Severe
1777,None,Moderate,Mild,Mild,Moderate
1778,No Rate,No Rate,No Rate,No Rate,No Rate
1779,No Rate,No Rate,No Rate,No Rate,No Rate
1780,Mild,Mild,Severe,Moderate,Mild
1781,Moderate,Moderate,Severe,Mild,Mild
1782,No Rate,No Rate,No Rate,No Rate,No Rate
1783,Mild,Moderate,Mild,Mild,Mild
1784,Mild,Moderate,Mild,Mild,Moderate
1785,Moderate,Mild,Severe,Mild,None
1786,None,None,Moderate,Mild,None
1787,No Rate,Mild,Moderate,No Rate,No Rate
1788,Severe,Moderate,Severe,Severe,Moderate
1789,Moderate,Severe,Severe,Moderate,Moderate
1790,Moderate,Mild,Moderate,Mild,None
1791,Mild,None,None,Mild,None
1792,Severe,Severe,Severe,Severe,Moderate
1793,Severe,Mild,Severe,Moderate,None
1794,Mild,Mild,Severe,Moderate,Moderate
1795,Mild,Mild,Mild,Mild,Moderate
1796,Mild,Moderate,Severe,Mild,Moderate
1797,None,None,None,None,None
1798,Mild,Severe,Severe,Mild,Severe
1799,Mild,No Rate,No Rate,No Rate,No Rate
1800,No Rate,No Rate,No Rate,No Rate,No Rate
1801,None,Moderate,Moderate,Mild,Moderate
1802,Mild,Severe,Severe,Mild,Moderate
1803,Mild,Moderate,Mild,Mild,Moderate
1804,Moderate,Mild,Severe,Moderate,Mild
1805,Mild,None,Severe,Mild,None
1806,Mild,Severe,Moderate,Mild,Moderate
1807,No Rate,No Rate,No Rate,No Rate,No Rate
1808,No Rate,No Rate,No Rate,No Rate,No Rate
1809,Mild,Moderate,Mild,Mild,Severe
1810,Mild,Moderate,Moderate,Mild,Moderate
1811,None,None,Mild,Mild,None
1812,Moderate,Moderate,Moderate,Mild,Mild
1813,None,Moderate,Moderate,Mild,Moderate
1814,Severe,Moderate,Mild,Moderate,Mild
1815,Severe,Moderate,Severe,Moderate,Moderate
1816,No Rate,No Rate,No Rate,No Rate,No Rate
1817,Mild,None,Moderate,Mild,None
1818,Mild,Moderate,Mild,Mild,Mild
1819,Mild,Severe,Severe,Moderate,Severe
1820,None,Mild,None,Moderate,None
1821,Moderate,Severe,Moderate,Mild,Moderate
1822,Moderate,Severe,Moderate,Severe,Severe
1823,Moderate,Moderate,Moderate,Mild,Severe
1824,Mild,Mild,Moderate,Moderate,None
1825,Mild,Mild,No Rate,No Rate,Moderate
1826,No Rate,No Rate,No Rate,No Rate,No Rate
1827,None,Moderate,Moderate,Moderate,Moderate
1828,None,Mild,Mild,Mild,Moderate
1829,Mild,None,Mild,Mild,None
1830,Moderate,Mild,Moderate,Severe,Mild
1831,Moderate,Moderate,Mild,Mild,Moderate
1832,Moderate,Mild,Moderate,Mild,None
1833,Mild,Severe,Severe,Moderate,Moderate
1834,Severe,Severe,Severe,Severe,Moderate
1835,Mild,Moderate,Mild,Mild,Moderate
1836,Mild,Moderate,Mild,None,Moderate
1837,Moderate,Severe,Moderate,Severe,Severe
1838,Moderate,Severe,Mild,Moderate,Severe
1839,Mild,Moderate,Severe,Mild,Mild
1840,None,Moderate,None,None,Moderate
1841,Mild,Mild,Mild,None,Mild
1842,None,Mild,None,None,Mild
1843,Moderate,Mild,Moderate,Mild,None
1844,Severe,Severe,Severe,Severe,Severe
1845,None,Mild,None,None,Mild
1846,None,Moderate,Mild,Mild,Moderate
1847,No Rate,No Rate,None,No Rate,No Rate
1848,Moderate,Mild,Moderate,Mild,None
1849,Mild,Severe,Mild,Mild,Moderate
1850,None,Mild,None,None,Moderate
1851,None,Severe,Severe,Mild,Mild
1852,None,Moderate,Moderate,Mild,Mild
1853,Moderate,Moderate,Severe,Moderate,Moderate
1854,Moderate,Severe,Severe,Moderate,Mild
1855,None,Moderate,Mild,Mild,Moderate
1856,Moderate,None,Moderate,Moderate,None
1857,Mild,Moderate,Moderate,None,Severe
1858,No Rate,No Rate,No Rate,No Rate,No Rate
1859,None,Severe,Mild,Mild,Moderate
1860,Moderate,Severe,Moderate,Mild,Severe
1861,Moderate,Mild,Mild,Mild,None
1862,Mild,Mild,Mild,None,Mild
1863,Mild,Mild,Mild,Moderate,Mild
1864,None,Mild,None,None,Moderate
1865,Mild,Moderate,Mild,Mild,Severe
1866,None,Moderate,Mild,Moderate,None
1867,None,Moderate,Moderate,None,Moderate
1868,None,Mild,Mild,None,Mild
1869,Mild,Severe,Severe,Mild,Moderate
1870,Mild,None,Mild,Mild,None
1871,None,Severe,Severe,Mild,Severe
1872,Moderate,Moderate,Moderate,Mild,Mild
1873,Mild,Moderate,Mild,Mild,Severe
1874,None,None,None,None,Mild
1875,None,Severe,Moderate,Mild,Severe
1876,Mild,Mild,Moderate,Mild,Moderate
1877,Mild,Moderate,Mild,Mild,Moderate
1878,Severe,Severe,Severe,Moderate,Severe
1879,Mild,Moderate,Severe,Mild,Moderate
1880,Moderate,Moderate,Moderate,Mild,Moderate
1881,Moderate,Severe,Mild,Moderate,Severe
1882,Moderate,None,Moderate,Moderate,None
1883,No Rate,No Rate,No Rate,No Rate,No Rate
1884,None,Mild,Mild,None,Mild
1885,None,Mild,Mild,None,Mild
1886,No Rate,No Rate,No Rate,No Rate,No Rate
1887,Mild,None,None,Moderate,None
1888,Severe,Moderate,Mild,Mild,Severe
1889,No Rate,No Rate,No Rate,No Rate,No Rate
1890,None,Mild,Mild,Mild,Mild
1891,Severe,None,Severe,Moderate,Mild
1892,Moderate,Moderate,Moderate,Moderate,Moderate
1893,None,Moderate,Moderate,Mild,Moderate
1894,Mild,Moderate,Moderate,Mild,Moderate
1895,Moderate,Severe,Moderate,Mild,Moderate
1896,None,Mild,None,Mild,None
1897,Moderate,No Rate,Mild,Mild,Mild
1898,Mild,Moderate,Moderate,Mild,Moderate
1899,None,Moderate,Moderate,Moderate,Severe
1900,Severe,Moderate,Moderate,Moderate,Moderate
1901,Severe,Moderate,Severe,Severe,Mild
1902,No Rate,No Rate,No Rate,No Rate,No Rate
1903,Moderate,Moderate,Mild,Mild,Mild
1904,Mild,Moderate,Mild,Moderate,Mild
1905,Mild,Severe,Moderate,Mild,Moderate
1906,Mild,Mild,Moderate,Mild,Mild
1907,Mild,Mild,Mild,Mild,None
1908,None,Mild,Mild,Mild,Mild
1909,Mild,Moderate,Mild,Mild,Moderate
1910,No Rate,No Rate,No Rate,No Rate,No Rate
1911,Moderate,Moderate,Mild,Mild,Moderate
1912,Moderate,Mild,Moderate,None,None
1913,Mild,Mild,Mild,Mild,Moderate
1914,Mild,Severe,Moderate,Moderate,Severe
1915,None,Mild,Mild,Mild,Mild
1916,No Rate,No Rate,No Rate,No Rate,No Rate
1917,Mild,Mild,Mild,Mild,Mild
1918,None,No Rate,No Rate,No Rate,No Rate
1919,Severe,Moderate,Mild,Mild,Mild
1920,None,Mild,None,None,Mild
1921,No Rate,No Rate,No Rate,No Rate,No Rate
1922,Moderate,Mild,Moderate,Mild,Mild
1923,None,Mild,Moderate,Mild,Moderate
1924,Mild,None,Mild,Mild,None
1925,Mild,Mild,None,Mild,Moderate
1926,None,Severe,Mild,Mild,Severe
1927,None,No Rate,No Rate,No Rate,No Rate
1928,None,Mild,Mild,None,Mild
1929,Mild,Mild,Mild,None,Moderate
1930,None,Mild,None,Mild,Mild
1931,None,None,Mild,Mild,Mild
1932,Mild,Mild,Mild,No Rate,Mild
1933,Mild,Severe,Moderate,Moderate,Severe
1934,Mild,Mild,Mild,Mild,Mild
1935,None,Moderate,None,None,Moderate
1936,None,Moderate,Mild,Mild,Severe
1937,None,Severe,Moderate,Mild,Moderate
1938,Moderate,Moderate,Moderate,Mild,Moderate
1939,Moderate,Severe,Moderate,Moderate,Moderate
1940,Mild,None,Moderate,Mild,Mild
1941,Mild,Mild,Mild,None,Moderate
1942,Mild,Moderate,Moderate,Mild,Moderate
1943,Mild,Mild,Mild,Mild,No Rate
1944,No Rate,No Rate,No Rate,No Rate,No Rate
1945,Mild,Moderate,Mild,Mild,Moderate
1946,Moderate,Severe,Severe,Moderate,Severe
1947,No Rate,No Rate,No Rate,No Rate,No Rate
1948,Mild,None,Mild,Mild,No Rate
1949,Mild,None,None,Mild,Moderate
1950,None,Severe,Severe,Moderate,Severe
1951,Moderate,None,Moderate,Moderate,None
1952,None,Severe,Mild,Mild,Moderate
1953,No Rate,No Rate,No Rate,No Rate,No Rate
1954,Severe,Moderate,Mild,Moderate,Mild
1955,Mild,Severe,Severe,Mild,Severe
1956,Mild,Severe,Moderate,Mild,Moderate
1957,Severe,Severe,Severe,Severe,Severe
1958,Moderate,Mild,Mild,Mild,Mild
1959,Mild,Moderate,Moderate,None,Moderate
1960,Mild,Severe,Mild,Moderate,Severe
1961,Moderate,Moderate,Mild,Moderate,Moderate
1962,Severe,Mild,Mild,Mild,Mild
1963,None,Moderate,Mild,Mild,Moderate
1964,Moderate,Severe,Moderate,Mild,Severe
1965,No Rate,No Rate,No Rate,No Rate,No Rate
1966,Severe,None,Mild,Mild,None
1967,No Rate,No Rate,No Rate,No Rate,No Rate
1968,Mild,Mild,Mild,Moderate,None
1969,Severe,Severe,Moderate,Moderate,Severe
1970,Severe,Mild,Moderate,Mild,Mild
1971,None,Mild,Mild,None,Moderate
1972,Moderate,Severe,Severe,Severe,Severe
1973,No Rate,No Rate,No Rate,No Rate,No Rate
1974,Mild,Mild,Moderate,Mild,None
1975,None,None,None,Mild,None
1976,Mild,Moderate,Moderate,Mild,Mild
1977,None,Mild,Moderate,Mild,Mild
1978,Mild,Mild,Mild,Mild,Moderate
1979,Mild,Moderate,Moderate,Mild,Mild
1980,None,Severe,Severe,Moderate,Moderate
1981,Moderate,Moderate,Mild,Mild,Mild
1982,No Rate,Mild,No Rate,No Rate,No Rate
1983,Mild,Moderate,None,Mild,Moderate
1984,None,Moderate,Moderate,Mild,Moderate
1985,None,Mild,Mild,None,Moderate
1986,Moderate,Moderate,Moderate,Mild,Mild
1987,Severe,Severe,Mild,Mild,Severe
1988,Moderate,Severe,Moderate,Moderate,Moderate
1989,Moderate,Mild,Mild,Moderate,Mild
1990,Moderate,Severe,Moderate,Mild,Severe
1991,None,Mild,Moderate,Mild,Moderate
1992,None,Mild,Moderate,Moderate,Moderate
1993,Mild,None,Moderate,Mild,Mild
1994,Mild,Moderate,Moderate,Mild,Moderate
1995,None,Moderate,Mild,None,Moderate
1996,Mild,Severe,Moderate,Mild,Severe
1997,Mild,Severe,Severe,Mild,Severe
1998,No Rate,No Rate,No Rate,No Rate,No Rate
1999,No Rate,No Rate,No Rate,No Rate,No Rate
2000,Mild,Moderate,Mild,Mild,Mild
2001,Mild,Moderate,Moderate,Mild,Moderate
2002,No Rate,No Rate,No Rate,No Rate,No Rate
2003,None,Moderate,Moderate,Mild,Moderate
2004,Mild,Moderate,Moderate,Moderate,No Rate
2005,Mild,Severe,Moderate,Mild,Moderate
2006,Moderate,Moderate,Moderate,Mild,Mild
2007,Mild,Moderate,Moderate,Mild,Moderate
2008,Mild,Moderate,Moderate,Mild,Severe
2009,Moderate,Mild,Mild,Mild,Mild
2010,Mild,Severe,Moderate,None,Severe
2011,None,Severe,Mild,Mild,Severe
2012,None,None,None,None,Mild
2013,Mild,Mild,Mild,Mild,None
2014,Mild,Mild,Mild,Mild,Moderate
2015,Mild,Moderate,Moderate,Moderate,Moderate
2016,None,Severe,Severe,Mild,Severe
2017,Mild,Moderate,None,Mild,Moderate
2018,Mild,None,Mild,Mild,None
2019,Mild,Mild,Mild,Moderate,Mild
2020,None,Moderate,Moderate,Mild,Moderate
2021,Moderate,Mild,Moderate,Mild,Mild
2022,No Rate,No Rate,No Rate,No Rate,No Rate
2023,None,Moderate,Moderate,Mild,Mild
2024,Mild,Mild,Moderate,Mild,Mild
2025,None,Severe,Moderate,Mild,Severe
2026,None,Mild,None,None,Mild
2027,Mild,Severe,Severe,Moderate,No Rate
2028,Mild,Moderate,Severe,Mild,Moderate
2029,Mild,Moderate,Severe,Mild,Moderate
2030,Mild,Mild,Moderate,Mild,Moderate
2031,No Rate,No Rate,No Rate,No Rate,No Rate
2032,Moderate,Mild,Mild,Mild,Moderate
2033,Severe,Moderate,Mild,Mild,Severe
2034,None,None,Moderate,Mild,None
2035,None,Mild,Moderate,Moderate,Moderate
2036,Moderate,Moderate,Moderate,Mild,Moderate
2037,None,None,None,None,None
2038,Mild,None,Mild,Mild,Mild
2039,Mild,Moderate,Mild,Mild,Moderate
2040,None,Moderate,Mild,None,Severe
